ランディング ページ,セッション,新規セッション率,新規ユーザー,直帰率,ページ/セッション,平均セッション時間,コンバージョン率,目標の完了数,目標値
/lp/houses/190_0013_1_03/index.html,293,5.46%,16,40.27%,2.74,148.59,1.71%,5,0.00
/andresortlife/2020/05/22/屋上テラスで楽しむプライベートシネマ空間/,291,88.32%,257,79.73%,1.29,35.44,0.00%,0,0.00
/andresortlife/2020/04/17/エキゾチックな癒しの空間。「アジアンリゾート/,286,94.41%,270,93.01%,1.14,15.21,0.00%,0,0.00
/andresortlife/2020/08/30/自宅の屋上にウッドデッキをdiy！必要な道具は？/,286,85.31%,244,80.07%,1.68,86.65,0.00%,0,0.00
/andresortlife/2021/01/02/周りを気にせず趣味に没頭！自宅の屋上で燻製を/,286,95.45%,273,90.21%,1.14,26.12,0.00%,0,0.00
/company/recruit/,282,48.58%,137,70.92%,2.26,112.40,0.00%,0,0.00
/andresortlife/2020/08/07/癒し効果だけではない？屋上緑化のメリット/,281,90.75%,255,88.26%,1.21,53.58,0.00%,0,0.00
/lp/houses/131_0032_5_01/,276,54.71%,151,74.64%,1.68,67.86,0.36%,1,0.00
/company/sponsoreship/,275,74.18%,204,66.18%,2.10,104.43,0.36%,1,0.00
/product/,275,34.18%,94,62.18%,2.87,220.37,0.36%,1,0.00
/lp/houses/155_0031_4_01/index.html,272,18.75%,51,48.90%,2.73,199.51,1.10%,3,0.00
"/andresortlife/2021/02/18/屋上付き住宅を購入するなら、中古？建売？注文/",271,86.72%,235,91.14%,1.15,23.92,0.00%,0,0.00
/contact/,270,71.11%,192,47.41%,2.84,119.51,27.41%,74,0.00
/andresortlife/2020/06/16/リビングがもっと好きになる。「お気に入りソフ/,269,93.31%,251,88.48%,1.20,51.25,0.00%,0,0.00
/company/cm_gallery/,265,80.00%,212,63.40%,2.35,103.79,0.00%,0,0.00
/lp/request/,265,7.17%,19,60.75%,2.51,90.59,23.77%,63,0.00
/andresortlife/2020/09/29/プール付き住宅で美と健康を追求。水中トレーニ/,264,96.21%,254,94.70%,1.12,13.44,0.00%,0,0.00
/andresortlife/2020/11/17/冬のお家アウトドアに便利なusb暖房グッズ-おすす/,263,98.10%,258,96.96%,1.06,20.33,0.00%,0,0.00
/lp/houses/176_0013_2_03/index.html,263,21.29%,56,53.99%,2.87,166.31,0.38%,1,0.00
/andresortlife/2020/06/18/キャンプマットでアウトドアリビングをくつろげ/,262,94.66%,248,90.84%,1.41,49.81,0.00%,0,0.00
/lp/houses/152_0013_2_01/index.html,260,11.54%,30,51.15%,2.53,134.16,0.00%,0,0.00
/andresortlife/2021/03/03/自宅を緑化して自然を感じる家に。壁面緑化も視/,259,94.21%,244,90.35%,1.13,38.50,0.00%,0,0.00
/lp/houses/107_0012_3_03/index.html,258,36.43%,94,68.99%,2.10,77.32,0.39%,1,0.00
"/andresortlife/2021/04/21/屋上のある家が建てられる地域と、適した土地は/",256,89.45%,229,90.23%,1.16,37.78,0.00%,0,0.00
/andresortlife/2020/06/04/ワンランク上の素敵なインテリアに。センスよく/,254,95.28%,242,89.76%,1.24,12.46,0.00%,0,0.00
/lp/houses/274_0807_2_03/index.html,253,3.16%,8,55.73%,1.98,84.98,0.40%,1,0.00
/lp/houses/167_0051_1_03/index.html,252,0.40%,1,28.17%,3.91,176.05,1.98%,5,0.00
/lp/houses/136_0065_5_03/index.html,251,6.77%,17,49.00%,3.12,163.08,0.40%,1,0.00
/lp/houses/181_0014_4_06/index.html,250,8.00%,20,53.60%,2.71,177.96,0.80%,2,0.00
/lp/houses/274_0063_8_02/,250,13.60%,34,54.40%,2.24,106.79,0.00%,0,0.00
/andresortlife/2020/04/17/プチパーティーに！-フィンガーフード入門/,248,95.56%,237,93.55%,1.21,15.36,0.00%,0,0.00
/lp/houses/252_0134_1_01/,243,72.02%,175,79.01%,1.45,51.83,1.23%,3,0.00
/lp/houses/336_0042_642_01/index.html,243,4.53%,11,41.56%,2.84,127.99,0.00%,0,0.00
/andresortlife/2020/04/17/お部屋がもっと開放的に。「ロースタイルインテ/,242,94.63%,229,93.39%,1.25,29.69,0.00%,0,0.00
/andresortlife/2020/11/20/冬のべランピングを暖かく。屋上テラスに映える/,241,91.29%,220,81.74%,1.49,72.24,0.00%,0,0.00
/lp/concept/property.html?argument=VhD4FQ1G&dmai=tw_lp_property,240,31.25%,75,92.50%,1.13,9.72,0.00%,0,0.00
/search/?pull=pickup,239,44.35%,106,19.67%,4.96,236.04,0.42%,1,0.00
/andresortlife/2020/04/17/「シンプルx上質感」が鍵。ホテルのようなイン/,238,94.54%,225,87.39%,2.12,58.91,0.00%,0,0.00
/search_cat/bacileon/,235,46.38%,109,21.28%,4.41,161.45,1.28%,3,0.00
/andresortlife/2020/07/31/こんな時だからこそ楽しみたい！屋上テラスで叶/,234,91.03%,213,94.02%,1.08,10.80,0.00%,0,0.00
/andresortlife/2020/07/10/リゾート風インテリアにつくる「キッチンスペー/,233,90.56%,211,84.98%,1.38,46.11,0.00%,0,0.00
/lp/houses/335_0012_2_03/index.html,233,3.00%,7,34.76%,4.10,318.00,0.00%,0,0.00
